"id","name","street_address","city","state","zip_code","gps_latitude","gps_longitude","website","star_ranking","hospital_description","owner_name"
21,"Cedar City Hospital","1303 North Main Street","Cedar City","UT",84721,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
22,"Cedar Orthopaedic Surgery Center","1335 Northfield Rd #150","Cedar City","UT",84721,NULL,NULL,NULL,NULL,NULL,NULL
23,"Central Valley Medical Center","48 West 1500 North","Nephi","UT",84648,NULL,NULL,NULL,NULL,NULL,NULL
24,"Davis Hospital and Medical Center","1600 West Antelope Drive","Layton","UT",84041,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
25,"Delta Community Hospital","126 South White Sage Avenue","Delta","UT",84624,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
26,"Desert Peak Imaging","1490 E Foremaster Drive, Building C Suite 2","St. George","UT",84790,NULL,NULL,NULL,NULL,NULL,NULL
27,"Encompass Health Rehabilitation Hospital of Utah","8074 South 1300 East","Sandy","UT",84094,NULL,NULL,NULL,NULL,NULL,"Encompass Health"
28,"Epic Surgical","5450 South Green Street, Suite B","Murray","UT",84123,NULL,NULL,NULL,NULL,NULL,NULL
29,"Fillmore Community Hospital","674 South Highway 99","Fillmore","UT",84631,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
30,"Garfield Memorial Hospital","200 N 400th E","Panguitch","UT",84759,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
31,"Gunnison Valley Hospital","64 East 100 North","Gunnison","UT",84634,NULL,NULL,NULL,NULL,NULL,NULL
32,"Highland Ridge Hospital","7309 South 180 West","Midvale","UT",84047,NULL,NULL,NULL,NULL,NULL,NULL
33,"Intermountain Layton Hospital","201 W Layton Pkwy","Layton","UT",84041,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
34,"Intermountain St. George Hospital","1380 East Medical Center Drive","St. George","UT",84790,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
35,"Jordan Valley Medical Center","3580 West 9000 South","West Jordan","UT",84088,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
36,"Jordan Valley Medical Center West Valley Campus","3460 South Pioneer Parkway","West Valley City","UT",84120,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
37,"Kane County Hospital","355 North Main Street","Kanab","UT",84741,NULL,NULL,NULL,NULL,NULL,NULL
38,"Lakeview Hospital","630 East Medical Drive","Bountiful","UT",84010,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
39,"Landmark Hospital Of Salt Lake City","4252 South Birkhill Boulevard","Murray","UT",84107,NULL,NULL,NULL,NULL,NULL,NULL
40,"Logan Regional Hospital","1400 North 500 East","Logan","UT",84341,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
41,"Lone Peak Hospital","1925 South State Street","Draper","UT",84020,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
42,"Luna Physical Therapy - Salt Lake City Region",NULL,"Salt Lake City","UT",84044,NULL,NULL,NULL,NULL,NULL,"Luna On-Demand Physical Therapy"
43,"Marian Center","451 East Bishop Federal Lane","Salt Lake City","UT",84115,NULL,NULL,NULL,NULL,NULL,NULL
44,"Mckay-Dee Hospital","4401 Harrison Boulevard","Ogden","UT",84403,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
45,"Milford Valley Memorial Hospital","850 North Main Street","Milford","UT",84751,NULL,NULL,NULL,NULL,NULL,NULL
46,"Moab Regional Hospital","450 West Williams Way","Moab","UT",84532,NULL,NULL,NULL,NULL,NULL,NULL
47,"Mountain Point Medical Center","3000 N Triumph Blvd","Lehi","UT",84043,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
48,"Mountain View Hospital","1000 East 100 North","Payson","UT",84651,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
49,"Mountain West Medical Center","2055 North Main Street","Tooele","UT",84074,NULL,NULL,NULL,NULL,NULL,"Quorum Health"
50,"Northern Utah Rehabilitation Hospital","5825 Harrison Boulevard","South Ogden","UT",84403,NULL,NULL,NULL,NULL,NULL,"Ernest Health"
51,"Ogden Regional Medical Center","5475 South 500 East","Ogden","UT",84405,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
52,"Promise Hospital Of Salt Lake","8 Avenue, C Street","Salt Lake City","UT",84143,NULL,NULL,NULL,NULL,NULL,NULL
53,"Provo Canyon Behavioral Hospital","1350 East 750 North","Orem","UT",84097,NULL,NULL,NULL,NULL,NULL,"Universal Health Services"
54,"Robotic Orthopaedic Institute","1490 East Foremaster Drive, Ste 260","St. George","UT",84790,NULL,NULL,NULL,NULL,NULL,NULL
55,"Salt Lake Behavioral Health","3802 South 700 East","Salt Lake City","UT",84106,NULL,NULL,NULL,NULL,NULL,"Universal Health Services"
56,"Salt Lake Regional Medical Center","1050 East South Temple","Salt Lake City","UT",84102,NULL,NULL,NULL,NULL,NULL,"Steward Health Care System"
57,"San Juan Health Services District","380 West 100 North","Monticello","UT",84535,NULL,NULL,NULL,NULL,NULL,NULL
58,"Sevier Valley Regional Medical Centr","1000 North Main Street","Richfield","UT",84701,NULL,NULL,NULL,NULL,NULL,"Intermountain Healthcare"
59,"Shriners Hospitals for Children - Salt Lake City","1275 East Fairfax Road","Salt Lake City","UT",84103,NULL,NULL,NULL,NULL,NULL,"Shriners Hospitals for Children"
60,"South Davis Community Hospital","401 South 400 East","Bountiful","UT",84010,NULL,NULL,NULL,NULL,NULL,NULL
61,"Southern Utah MRI","1335 Northfield Rd #100","Cedar City","UT",84721,NULL,NULL,NULL,NULL,NULL,NULL
62,"St. George Surgical Center","676 South Bluff Street","St. George","UT",84770,NULL,NULL,NULL,NULL,NULL,NULL
63,"St. Marks Hospital","1200 East 3900 South","Salt Lake City","UT",84124,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
64,"Timpanogos Regional Hospital","750 West 800 North","Orem","UT",84057,NULL,NULL,NULL,NULL,NULL,"HCA Healthcare"
65,"Uintah Basin Medical Center","250 West 300 North","Roosevelt","UT",84066,NULL,NULL,NULL,NULL,NULL,NULL
66,"U Of U Hospitals & Clinics","50 North Medical Drive","Salt Lake City","UT",84132,NULL,NULL,NULL,NULL,NULL,"University of Utah Hospitals and Clinics"
67,"U Of Utah Neuropsychiatric Institute","501 South Chipeta Way","Salt Lake City","UT",84108,NULL,NULL,NULL,NULL,NULL,"University of Utah Hospitals and Clinics"
68,"Utah Neuro Rehabilitation","1414 East 4500 South Suite 2","Salt Lake City","UT",84117,NULL,NULL,NULL,NULL,NULL,NULL
69,"Utah State Hospital","1300 East Center Street","Provo","UT",84606,NULL,NULL,NULL,NULL,NULL,NULL
70,"Utah Valley Specialty Hospital","306 River Bend Lane","Provo","UT",84604,NULL,NULL,NULL,NULL,NULL,"Ernest Health"
71,"Orange MD","5728 S 1475 E Suite 102","Ogden","UT",84403,NULL,NULL,NULL,NULL,NULL,NULL
