"id","provider_id","service_id","procedure_id","procedure_name","cash_price","min_allowable","max_allowable","gross_charge","cpt_code","procedure_description_id"
209,1,3,1168980,"Right Knee MRI with Contrast",768.27,811.29,2765.76,3073.07,"73722",1467
215,1,3,1168984,"MRI of the left knee without contrast.",595.85,629.21,2145.05,2383.39,"73721",1168
219,1,3,1168986,"MRI of Right Knee without Contrast.",595.85,629.21,2145.05,2383.39,"73721",1268
172,1,3,1169006,"Bilateral Lower Extremity MRI with and without Contrast.",938.68,991.25,3379.26,3754.73,"73720",573
174,1,3,1169008,"MRI scan of the lower leg with and without contrast, left side.",938.68,991.25,3379.26,3754.73,"73720",401
179,1,3,1169010,"MRI of the Right Lower Limb with and without contrast.",938.68,991.25,3379.26,3754.73,"73720",638
182,1,3,1169012,"Bilateral Lower Extremity MRI with Contrast.",596.31,629.7,2146.71,2385.23,"73719",955
189,1,3,1169014,"MRI with contrast of the left lower extremity.",628.29,663.48,2261.85,2513.17,"73719",889
193,1,3,1169016,"MRI with contrast for the right lower limb",621.17,655.95,2236.2,2484.67,"73719",1026
194,1,3,1169016,"MRI with contrast for the right lower limb",628.29,663.48,2261.85,2513.17,"73719",1026
196,1,3,1169018,"Bilateral lower extremity MRI without contrast.",656.62,693.39,2363.84,2626.49,"73718",859
203,1,3,1169020,"MRI of the left lower extremity without contrast.",642.16,678.12,2311.79,2568.65,"73718",796
206,1,3,1169022,"MRI of the Right Lower Leg Without Contrast.",642.16,678.12,2311.79,2568.65,"73718",956
210,1,3,1169024,"Pelvic MRI with and without contrast.",941.48,994.21,3389.34,3765.93,"72197",1204
212,1,3,1169026,"Pelvic Magnetic Resonance Imaging with Contrast (MRI Pelvis with Contrast).",693.6,732.44,2496.97,2774.41,"72196",196
216,1,3,1169028,"Pelvic MRI without contrast.",708.68,748.36,2551.23,2834.7,"72195",1468
167,1,3,1169032,"MRI scan of the Left Shoulder with and without Contrast.",925.13,976.93,3330.46,3700.51,"73223",572
170,1,3,1169034,"MRI of Right Shoulder with and without Contrast.",925.13,976.93,3330.46,3700.51,"73223",826
171,1,3,1169038,"MRI of the left shoulder with contrast.",770.82,813.99,2774.95,3083.28,"73222",1124
177,1,3,1169040,"Right Shoulder MRI with Contrast.",770.82,813.99,2774.95,3083.28,"73222",1340
180,1,3,1169044,"MRI of the left shoulder without contrast.",636.78,672.44,2292.41,2547.12,"73221",1025
184,1,3,1169046,"MRI without Contrast of the Right Shoulder.",636.78,672.44,2292.41,2547.12,"73221",997
187,1,3,1169048,"Brain Scan with Magnetic Resonance Imaging (MRI) and Spectroscopy.",209.44,221.17,753.98,837.75,"76390",337
191,1,3,1169050,"Cervical Spine MRI with and without Contrast.",1135.94,1199.55,4089.38,4543.75,"72156",925
195,1,3,1169052,"Cervical Spine MRI with Contrast.",829.03,875.46,2984.51,3316.12,"72142",1341
198,1,3,1169054,"Cervical Spine MRI without Contrast.",810.97,856.38,2919.47,3243.86,"72141",1243
201,1,3,1169056,"Lumbar MRI scan with and without contrast dye injection",1131.45,1194.81,4073.21,4525.79,"72158",603
208,1,3,1169058,"Lumbar MRI with Contrast.",859.24,907.35,3093.25,3436.94,"72149",1533
211,1,3,1169060,"Magnetic Resonance Imaging (MRI) of the Lower Back without Contrast.",703.18,742.56,2531.45,2812.72,"72148",304
214,1,3,1169062,"Thoracic Spine MRI with and without Contrast.",1081.49,1142.05,3893.35,4325.94,"72157",926
218,1,3,1169064,"Thoracic Spine MRI with Contrast",802.5,847.43,2888.98,3209.98,"72147",1374
175,1,3,1169066,"MRI of the Thoracic Spine without Contrast.",749.61,791.58,2698.58,2998.42,"72146",996
176,1,3,1169068,"Magnetic Resonance Imaging of the Temporomandibular Joint (TMJ)",602.13,635.85,2167.67,2408.52,"70336",402
183,1,3,1169108,"MRI of left upper limb with and without contrast.",1031.27,1089.02,3712.55,4125.06,"73220",795
186,1,3,1169110,"MRI of Right Upper Limb with and without Contrast.",1031.27,1089.02,3712.55,4125.06,"73220",760
190,1,3,1169114,"Magnetic Resonance Imaging (MRI) of Left Upper Arm with Contrast",723.08,763.57,2603.09,2892.32,"73219",380
197,1,3,1169116,"MRI with contrast of the right upper limb.",778.22,821.8,2801.59,3112.88,"73219",1027
200,1,3,1169120,"MRI of Left Arm or MRI of Left Upper Limb (without Contrast)",695.93,734.9,2505.36,2783.73,"73218",467
204,1,3,1169122,"MRI of the Right Arm without Contrast.",695.93,734.9,2505.36,2783.73,"73218",1167
207,1,3,1169128,"MRI scan of the left wrist with and without contrast.",925.13,976.93,3330.46,3700.51,"73223",662
213,1,3,1169130,"MRI with and without contrast of the right wrist.",925.13,976.93,3330.46,3700.51,"73223",797
217,1,3,1169134,"Magnetic Resonance Imaging (MRI) of the Left Wrist with Contrast",770.82,813.99,2774.95,3083.28,"73222",381
168,1,3,1169136,"Right Wrist MRI with Contrast",770.82,813.99,2774.95,3083.28,"73222",1442
220,1,3,1169140,"MRI of the left wrist without contrast.",636.78,672.44,2292.41,2547.12,"73221",1125
225,1,3,1169142,"MRI of the right wrist without contrast.",636.78,672.44,2292.41,2547.12,"73221",1090
331,1,3,2425744,"MRI Cardiac Morphology and Function with and without Contrast.",757.05,799.44,2725.37,3028.19,"75561",423
332,1,3,2425746,"MRI Cardiac Morphology and Function with Stress Testing without Contrast.",1117.28,1179.85,4022.21,4469.12,"75559",226
333,1,3,2425748,"MRI Cardiac Morphology and Function with Stress and without Contrast.",1217.57,1285.75,4383.25,4870.28,"75563",289
329,1,3,2425750,"MRI without contrast for functional morphology of the heart.",524.18,553.53,1887.04,2096.71,"75557",469
358,1,3,2425895,"MRI Scan of the Brachial Plexus with and without Contrast.",1024.14,1081.49,3686.9,4096.55,"71552",516
359,1,3,2425898,"MRI of the arm nerves without dye.",707.75,747.39,2547.91,2831.01,"71550",1311
360,1,3,2425901,"MRI-guided left breast biopsy.",1126.55,1189.64,4055.59,4506.21,"19085",1420
362,1,3,2425904,"MRI-guided breast biopsy.",1165.02,1230.26,4194.07,4660.08,"19085",1534
370,1,3,2425907,"MRI Enterography Scan",1006.32,1062.67,3622.74,4025.27,"74183",1610
394,1,3,4126347,"MRI (Magnetic Resonance Imaging) of the Prostate with and without Contrast",941.48,994.21,3389.34,3765.93,"72197",211
395,1,3,4126350,"Prostate MRI without Contrast",674.93,712.73,2429.75,2699.72,"72195",1444
439,1,3,4155392,"Breast MRI with Computer-Aided Detection (CAD)",31.31,33.06,112.71,125.23,"0159T",893
440,1,3,4155393,"MRI of the additional area of the extremity",611.73,645.98,2202.21,2446.9,NULL,1000
484,1,3,4185955,"MRI Hydrocephalus Diagnostic Test",637.63,673.33,2295.46,2550.51,"70551",1347
485,1,3,4185955,"MRI Hydrocephalus Diagnostic Test",686.2,724.63,2470.32,2744.8,"70551",1347
1031,1,3,4207639,"PowerPort 8FR MRI-Compatible Plastic Implant",357.55,377.57,1287.16,1430.18,NULL,968
1048,1,3,4209319,"MRI-guided external fixation with Hoffman II 5HL clamp.",667.38,704.75,2402.56,2669.51,"C1713",616
1049,1,3,4209331,"Magnetic Resonance Imaging and Semi-Circular External Fixation with Rod (5028-7-030)",349.01,368.55,1256.44,1396.04,"C1713",113
1063,1,3,4211227,"MRI of the Hoffmann II Rods Connected by Rods Procedure",633.35,668.81,2280.04,2533.38,"C1713",617
1078,1,3,4213775,"Magnetic Resonance Imaging (MRI) assisted external fixation with Hoffman II 10HL clamp.",857.76,905.79,3087.93,3431.03,"C1713",101
1080,1,3,4214018,"MRI-guided spinal surgery with hoffman ii technique and external fixation for improved alignment",173.12,182.81,623.22,692.47,"C1713",53
1086,1,3,4214448,"MRI with Rechargable Surescan Technology",1297.16,1369.8,4669.78,5188.64,"C1820",1103
1099,1,3,4216835,"Spinal Cord Stimulator Implantation with MRI-Guided Advanced Technology",8564.25,9043.85,30831.31,34257.01,"C1820",258
1118,1,3,4218144,"Blade osteotome-guided MRI with a thin 8mm x 3 size cut.",219.26,231.53,789.32,877.02,NULL,585
1154,1,3,4223408,"Magnetic Resonance Imaging (MRI) with Pin Clamp 4HL - Procedure Code: 4941-2-020",486.13,513.36,1750.08,1944.53,"C1713",147
1214,1,3,4229656,"Long Bone Osteotomy with 8mmx5mm MRI Blade",220.43,232.77,793.54,881.71,NULL,1044
1215,1,3,4229657,"Precision imaging-guided bone fragment removal",221.6,234.01,797.75,886.39,NULL,902
1216,1,3,4229658,"MRI-guided Blade Osteotomy with a Thin 10mmx3 Blade",219.26,231.53,789.32,877.02,NULL,744
1217,1,3,4229668,"Round-tip Bone Carving Procedure Using Thin MRI-guided Blade Osteotome",219.26,231.53,789.32,877.02,NULL,278
1218,1,3,4229669,"MRI-guided thin blade osteotomy with a 12mm square-tipped instrument.",219.26,231.53,789.32,877.02,NULL,297
1219,1,3,4229679,"20mm Curved Thin-bladed Osteotome MRI Procedure",218.08,230.3,785.1,872.33,NULL,874
1220,1,3,4229680,"Magnetic Resonance Imaging (MRI) Guided Long Blade Osteotome with a 10mmx5mm Blade.",219.26,231.53,789.32,877.02,NULL,118
509,1,3,4624434,"MRI scan of the Abdomen and Pelvis for Pregnant Women.",703.89,743.31,2534,2815.56,"74181",643
572,1,3,4662278,"MRI-Compatible Dual Chamber Pacemaker Implantation",6503.35,6867.53,23412.04,26013.38,"C1785",763
520,1,3,4662299,"MRI-Compatible Lead Pacemaker Implantation Therapy",596.83,630.25,2148.57,2387.3,"C1898",762
1240,1,3,4930973,"drill twist mri 5/16 00-9986-010-26",158.02,166.86,568.85,632.06,NULL,1283
616,1,3,5336599,"MRI Pelvis without and with Contrast.",959.43,1013.16,3453.96,3837.73,"72197",1212
604,1,3,5413051,"MRI of the breast with contrast on one side.",804.41,849.45,2895.87,3217.63,"77048",965
605,1,3,5413051,"MRI of the breast with contrast on one side.",804.41,849.45,2895.87,3217.63,"77058",965
606,1,3,5413051,"MRI of the breast with contrast on one side.",804.41,849.45,2895.87,3217.63,"C8903",965
613,1,3,5413053,"Breast MRI without contrast, unilateral.",489.44,516.85,1761.98,1957.76,"77046",1093
611,1,3,5413053,"Breast MRI without contrast, unilateral.",489.44,516.85,1761.98,1957.76,"77058",1093
615,1,3,5413053,"Breast MRI without contrast, unilateral.",489.44,516.85,1761.98,1957.76,"C8904",1093
617,1,3,5413055,"Breast MRI with and without contrast, unilateral.",902.28,952.81,3248.21,3609.12,"77048",802
592,1,3,5413055,"Breast MRI with and without contrast, unilateral.",902.28,952.81,3248.21,3609.12,"77058",802
593,1,3,5413055,"Breast MRI with and without contrast, unilateral.",902.28,952.81,3248.21,3609.12,"C8905",802
620,1,3,6110309,"MRI for Maternal Anatomy in Gestation (MAG)",714.63,754.65,2572.67,2858.52,"72195",1002
1257,1,3,7257617,"MRI-Compatible Implantable Pulse Generator with 16 Channels and Recharge Capability - Protege System.",7961.65,8407.5,28661.94,31846.6,"C1820",32
1258,1,3,7257618,"MRI-Compatible Programming Surgery",710.46,750.24,2557.65,2841.83,NULL,1323
633,1,3,7336179,"MRI of the Right Lower Leg Without Contrast.",675.94,713.79,2433.37,2703.74,"73718",956
1266,1,3,8656567,"MRI-guided rod dynamization for fracture healing.",2463.6,2601.56,8868.96,9854.4,"C1713",812
1267,1,3,8656584,"MRI-guided implantation of coupling rod to tube.",633.35,668.81,2280.04,2533.38,"C1713",842
1287,1,3,10061037,"MRI with SureScan Technology for Lead Kits - 1x8 Configuration, 90cm Diameter",1967.03,2077.18,7081.3,7868.11,NULL,180
1336,1,3,10065701,"MRI-guided subcutaneous catheter placement with a 6 French power port and micro-introducer.",357.55,377.57,1287.16,1430.18,NULL,77
1392,1,3,12395897,"MRI with Lead Placement and Surescan Technology - 2 Rows of 8 Leads, 65cm Length",4840.12,5111.17,17424.44,19360.49,NULL,150
1403,1,3,12668090,"MRI-guided Rod Insertion, 5.0mm Diameter x 150mm Length (Product Code: 5048-5-150)",149.23,157.58,537.21,596.9,"C1713",127
1408,1,3,12933277,"MRI-Safe Pulse Generator Implant with SC-1200 Montage",11292.97,11925.37,40654.67,45171.86,"C1820",679
1409,1,3,12933278,"MRI-Safe Lead-Avista Procedure with 74cm SC-2408-74",1837.16,1940.04,6613.76,7348.62,NULL,749
1410,1,3,12933282,"MRI-Safe Anchor Placement Procedure SC-4319",428.52,452.52,1542.68,1714.09,NULL,1010
1414,1,3,13007021,"MRI with Lead Placement and Surescan Technology, 2x8 Configuration, 90cm Imaging Depth, and Model 977c290.",4840.12,5111.17,17424.44,19360.49,NULL,23
1434,1,3,13011991,"cath mri powerport isp 8fr 4808060",357.55,377.57,1287.16,1430.18,NULL,1327
1435,1,3,13012013,"Magnetic Resonance Imaging (MRI) with Catheter Groshong 8FR",318.07,335.88,1145.06,1272.29,NULL,502
1436,1,3,13012014,"MRI-guided insertion of a 8 French catheter with Groshong valve using Bardport technology on June 2nd, 830.",328.59,346.99,1182.92,1314.35,NULL,21
1476,1,3,13074028,"Minimally Invasive MRI-Guided Hip Bone Biopsy.",932.7,984.93,3357.72,3730.8,NULL,908
1477,1,3,13074029,"MRI-guided Hip Biopsy with 12.0mm Trephine Needle and 8-Inch Internal Diameter.",932.7,984.93,3357.72,3730.8,NULL,163
1478,1,3,13074030,"Hip Bone Biopsy using MRI Guidance without Sterilization: 13.0mm Trephine with 8in Inner Diameter",932.7,984.93,3357.72,3730.8,NULL,49
1479,1,3,13074031,"MRI-guided hip bone biopsy using a 13.5mm trephine needle (non-sterile)",936.46,988.9,3371.24,3745.82,NULL,263
1515,1,3,13156573,"MRI-Compatible Pacemaker Implant with Accolade IS-1 and SR Features",4111.28,4341.51,14800.62,16445.13,NULL,331
694,1,3,13235014,"Advanced MRI-guided Pacemaker Placement for Optimal Heart Functioning.",7864.73,8305.16,28313.04,31458.93,"C2621",273
690,1,3,13237246,"MRI-guided cardiac resynchronization therapy with implantable cardioverter-defibrillator",7982.88,8429.92,28738.38,31931.53,"C1882",87
691,1,3,13245704,"MRI-Compatible Single-Chamber Pacemaker Implant.",2436.32,2572.76,8770.76,9745.29,"C1786",834
692,1,3,13245705,"Magnetic Resonance Imaging with Dual Chamber Cardioverter-Defibrillator",6503.35,6867.53,23412.04,26013.38,"C1721",253
1542,1,3,13258920,"MRI-guided hip bone biopsy with a 14.0mm trephine needle and 8-inches inner diameter, non-sterile procedure.",535.9,565.91,1929.22,2143.58,NULL,19
1578,1,3,13360428,"Ultra-MRICs NeuroStimulator Restoration Procedure with Surescan Technology",9731.63,10276.6,35033.88,38926.53,NULL,220
1582,1,3,13495241,"Prodigy System Implant MRI Procedure",7961.65,8407.5,28661.94,31846.6,NULL,1259
726,1,3,13990348,"Cardiac Velocity Flow Mapping by MRI",623.35,658.26,2244.06,2493.4,"75565",1252
1601,1,3,14027619,"MRI-Compatible CRT-D Implant with Amplifier and Dual-Chamber Defibrillation",10661.14,11258.16,38380.1,42644.55,NULL,206
728,1,3,14033637,"MRI scan for rectal cancer staging",941.48,994.21,3389.34,3765.93,"72197",1315
1619,1,3,14095798,"Assurity MRI Pacemaker Implantation Procedure (Model PM2272-U-PR)",2609.07,2755.18,9392.66,10436.29,NULL,368
1626,1,3,14194814,"MRI-guided Placement of Azure IPG XT DR Device",3262.25,3444.94,11744.1,13049,NULL,914
1629,1,3,14263792,"MRI-guided non-sterile 18.0mm hip bone biopsy",535.9,565.91,1929.22,2143.58,NULL,948
1635,1,3,14365671,"MRI-Compatible Pacemaker (Assurity PM1272)",2484.42,2623.55,8943.92,9937.69,NULL,1050
1642,1,3,14509617,"Non-sterile MRI-guided Hip Biopsy with a 22.0mm Internal Diameter Trephine",535.9,565.91,1929.22,2143.58,NULL,221
1643,1,3,14509632,"MRI-guided non-sterile core needle biopsy of the hip using a 17.5mm internal diameter trephine needle.",535.9,565.91,1929.22,2143.58,NULL,27
1644,1,3,14509633,"MRI-guided Hip Biopsy with 18.5mm ID Trephine Needle, Non-Sterile",535.9,565.91,1929.22,2143.58,NULL,370
1674,1,3,15442088,"Non-Surgical MRI-Assisted Hip Bone Biopsy - 19.5mm Diameter",535.9,565.91,1929.22,2143.58,NULL,508
1675,1,3,15442089,"MRI-guided hip biopsy with a 20.5mm inner diameter trephine, performed non-sterile.",535.9,565.91,1929.22,2143.58,NULL,119
1676,1,3,15442090,"MRI-guided hip bone biopsy.",535.9,565.91,1929.22,2143.58,NULL,1505
780,1,3,15488086,"Full body magnetic resonance imaging (MRI) Scan.",1006.57,1062.94,3623.65,4026.28,"76498",836
1689,1,3,15726108,"MRI-guided Kit Lead Placement Surgery.",4840.12,5111.17,17424.44,19360.49,NULL,1194
1693,1,3,15812451,"MRI-guided lead implantation for cardiac pacemaker placement.",1967.03,2077.18,7081.3,7868.11,NULL,458
795,1,3,16335392,"Magnetic Resonance Imaging (MRI) Elastography",338.82,357.79,1219.75,1355.28,"76391",935
810,1,3,18166656,"Liver Health Assessment using MRI and LIRADS Evaluation",1006.32,1062.67,3622.74,4025.27,"74183",615
1738,1,3,18532678,"Artisan-Enhanced Magnetic Resonance Imaging (MRI) with 50cm Kit Surgery",2833.92,2992.62,10202.11,11335.68,NULL,268
813,1,3,18552647,"Limited metastasis follow-up MRI of the brain.",800.77,845.61,2882.76,3203.07,"70552",900
814,1,3,18552650,"MRI of left hip without contrast with metal reduction",595.85,629.21,2145.05,2383.39,"73721",673
815,1,3,18552653,"MRI Hip without Contrast with Metal Reduction on the Right Side",595.85,629.21,2145.05,2383.39,"73721",405
816,1,3,18552656,"Knee MRI without Contrast and with Metal Reduction on Left Side",595.85,629.21,2145.05,2383.39,"73721",406
817,1,3,18552659,"MRI Knee without contrast with metal reduction on the right side.",595.85,629.21,2145.05,2383.39,"73721",358
1745,1,3,18866654,"MRI-Guided Total Knee Replacement Surgery",386.17,407.79,1390.2,1544.67,"C1776",1081
1760,1,3,19688687,"MRI-guided cardiac resynchronization therapy with Claria device and DTMA1D4 lead.",11165.41,11790.67,40195.48,44661.64,NULL,139
836,1,3,20752685,"MRI Brain Scan for Stroke Detection without Limited Access.",686.2,724.63,2470.32,2744.8,"70551",493
1783,1,3,22244714,"Personalized MRI-Guided Knee Replacement Surgery with Lima Guide.",386.17,407.79,1390.2,1544.67,NULL,373
1794,1,3,22780993,"Percutaneous Cable Procedure with SecureScan MRI for 2.16mm Interstim Extension",328.59,346.99,1182.92,1314.35,NULL,166
1795,1,3,22781000,"Rechargeable MR-Compatible Neurostimulation Procedure with Interstim and Micro Surescan Technology.",8261.63,8724.28,29741.87,33046.52,NULL,39
1796,1,3,22781005,"InterStim SureScan MRI Procedure with 4.32mm Kit Lead and 28cm Impulse Generator",3406.46,3597.22,12263.25,13625.83,"C1820",153
1799,1,3,23249096,"device azure ipg xt sr mri w1sr01",2676.15,2826.02,9634.15,10704.61,NULL,1370
1803,1,3,23597187,"MRI-guided hip bone biopsy with an 11.5mm trephine needle and 8-inch internal diameter, performed without the use of steroids.",535.9,565.91,1929.22,2143.58,NULL,5
1804,1,3,23597197,"MRI-guided hip bone biopsy",535.9,565.91,1929.22,2143.58,NULL,1530
1805,1,3,23683002,"Enhanced Diagnostic Imaging with Sensor Flow Technology",215.99,228.08,777.55,863.94,NULL,632
1808,1,3,23915009,"MRI-guided implantation of a 33cm interstim electrode with 4.32mm kit lead and surescan technology.",3406.46,3597.22,12263.25,13625.83,NULL,40
1811,1,3,23986646,"MRI-guided Interstim with SureScan using a 2.16mm spacing kit",3406.46,3597.22,12263.25,13625.83,NULL,460
1817,1,3,24655287,"device percepta crtp mri us w1tr01",5172.68,5462.35,18621.66,20690.73,NULL,1336
1823,1,3,25085309,"MRI-Compatible Quad Cobalt Pacemaker with IS1 DF4 and DTPB2D4 Leads.",11165.41,11790.67,40195.48,44661.64,NULL,320
