"id","name","hospital_owner","street_address","zip_code","state","city","gps_latitude","gps_longitude","website","star_ranking","hospital_description"
11,"Primary Children's Hospital",1,"100 North Mario Capecchi Drive",84113,"UT","Salt Lake City",40.7711,-111.8388,NULL,NULL,"Our hospital is the only Level I Pediatric Trauma center serving a five-state region. Originally certified in 2002, we have been a pediatric trauma center for 15 consecutive years. We have one of the busiest trauma programs in the country. Our hospital has a 32-bed PICU, 16-bed CICU, 28-bed Neuro Trauma Unit, and 50-bed Level IV NICU. We have a dedicated pediatric and neonatal team that transports more than 1,500 patients each year."
12,"Lds Hospital",1,"Eighth Avenue And 'c' Street",84143,"UT","Salt Lake City",40.7789,-111.8795,NULL,5,"Intermountain LDS Hospital is a full-service hospital with a complete range of wellness, diagnostic, and treatment services for our community. For more than 115 years, LDS Hospital has provided high-quality clinical care, technological progress, exceptional efficiency and extraordinary personal service. This 262-bed facility is located just minutes from downtown Salt Lake City, and is integrated with Intermountain’s Life Flight air ambulance and TeleHealth Hospital. The hospital also services southern Davis County and Tooele County out to the Utah / Nevada state line."
13,"Sanpete Valley Hospital",1,"1100 South Medical Drive",84647,"UT","Mount Pleasant",NULL,NULL,NULL,NULL,NULL
14,"Bear River Valley Hospital",1,"905 North 1000 West",84337,"UT","Tremonton",NULL,NULL,NULL,NULL,NULL
15,"Ashley Regional Medical Center",3,"150 West 100 North",84078,"UT","Vernal",NULL,NULL,NULL,NULL,NULL
16,"Beaver Valley Hospital",NULL,"1109 North 100 West",84713,"UT","Beaver",NULL,NULL,NULL,NULL,NULL
17,"Blue Mountain Hospital",NULL,"802 South 200 West, Suite A",84511,"UT","Blanding",NULL,NULL,NULL,NULL,NULL
18,"Brigham City Community Hospital",2,"950 South Medical Drive",84302,"UT","Brigham City",NULL,NULL,NULL,NULL,NULL
19,"Cache Valley Hospital",2,"2380 North 400 East",84341,"UT","North Logan",NULL,NULL,NULL,NULL,NULL
20,"Castleview Hospital",3,"300 North Hospital Drive",84501,"UT","Price",NULL,NULL,NULL,NULL,NULL
21,"Cedar City Hospital",1,"1303 North Main Street",84721,"UT","Cedar City",NULL,NULL,NULL,NULL,NULL
22,"Cedar Orthopaedic Surgery Center",NULL,"1335 Northfield Rd #150",84721,"UT","Cedar City",NULL,NULL,NULL,NULL,NULL
23,"Central Valley Medical Center",NULL,"48 West 1500 North",84648,"UT","Nephi",NULL,NULL,NULL,NULL,NULL
24,"Davis Hospital and Medical Center",4,"1600 West Antelope Drive",84041,"UT","Layton",NULL,NULL,NULL,NULL,NULL
25,"Delta Community Hospital",1,"126 South White Sage Avenue",84624,"UT","Delta",NULL,NULL,NULL,NULL,NULL
26,"Desert Peak Imaging",NULL,"1490 E Foremaster Drive, Building C Suite 2",84790,"UT","St. George",NULL,NULL,NULL,NULL,NULL
27,"Encompass Health Rehabilitation Hospital of Utah",5,"8074 South 1300 East",84094,"UT","Sandy",NULL,NULL,NULL,NULL,NULL
28,"Epic Surgical",NULL,"5450 South Green Street, Suite B",84123,"UT","Murray",NULL,NULL,NULL,NULL,NULL
29,"Fillmore Community Hospital",1,"674 South Highway 99",84631,"UT","Fillmore",NULL,NULL,NULL,NULL,NULL
30,"Garfield Memorial Hospital",1,"200 N 400th E",84759,"UT","Panguitch",NULL,NULL,NULL,NULL,NULL
31,"Gunnison Valley Hospital",NULL,"64 East 100 North",84634,"UT","Gunnison",NULL,NULL,NULL,NULL,NULL
32,"Highland Ridge Hospital",NULL,"7309 South 180 West",84047,"UT","Midvale",NULL,NULL,NULL,NULL,NULL
33,"Intermountain Layton Hospital",1,"201 W Layton Pkwy",84041,"UT","Layton",NULL,NULL,NULL,NULL,NULL
34,"Intermountain St. George Hospital",1,"1380 East Medical Center Drive",84790,"UT","St. George",NULL,NULL,NULL,NULL,NULL
35,"Jordan Valley Medical Center",4,"3580 West 9000 South",84088,"UT","West Jordan",NULL,NULL,NULL,NULL,NULL
36,"Jordan Valley Medical Center West Valley Campus",4,"3460 South Pioneer Parkway",84120,"UT","West Valley City",NULL,NULL,NULL,NULL,NULL
37,"Kane County Hospital",NULL,"355 North Main Street",84741,"UT","Kanab",NULL,NULL,NULL,NULL,NULL
38,"Lakeview Hospital",2,"630 East Medical Drive",84010,"UT","Bountiful",NULL,NULL,NULL,NULL,NULL
39,"Landmark Hospital Of Salt Lake City",NULL,"4252 South Birkhill Boulevard",84107,"UT","Murray",NULL,NULL,NULL,NULL,NULL
40,"Logan Regional Hospital",1,"1400 North 500 East",84341,"UT","Logan",NULL,NULL,NULL,NULL,NULL
41,"Lone Peak Hospital",2,"1925 South State Street",84020,"UT","Draper",NULL,NULL,NULL,NULL,NULL
42,"Luna Physical Therapy - Salt Lake City Region",6,NULL,84044,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
43,"Marian Center",NULL,"451 East Bishop Federal Lane",84115,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
44,"Mckay-Dee Hospital",1,"4401 Harrison Boulevard",84403,"UT","Ogden",NULL,NULL,NULL,NULL,NULL
45,"Milford Valley Memorial Hospital",NULL,"850 North Main Street",84751,"UT","Milford",NULL,NULL,NULL,NULL,NULL
46,"Moab Regional Hospital",NULL,"450 West Williams Way",84532,"UT","Moab",NULL,NULL,NULL,NULL,NULL
47,"Mountain Point Medical Center",4,"3000 N Triumph Blvd",84043,"UT","Lehi",NULL,NULL,NULL,NULL,NULL
48,"Mountain View Hospital",2,"1000 East 100 North",84651,"UT","Payson",NULL,NULL,NULL,NULL,NULL
49,"Mountain West Medical Center",7,"2055 North Main Street",84074,"UT","Tooele",NULL,NULL,NULL,NULL,NULL
50,"Northern Utah Rehabilitation Hospital",8,"5825 Harrison Boulevard",84403,"UT","South Ogden",NULL,NULL,NULL,NULL,NULL
51,"Ogden Regional Medical Center",2,"5475 South 500 East",84405,"UT","Ogden",NULL,NULL,NULL,NULL,NULL
52,"Promise Hospital Of Salt Lake",NULL,"8 Avenue, C Street",84143,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
53,"Provo Canyon Behavioral Hospital",9,"1350 East 750 North",84097,"UT","Orem",NULL,NULL,NULL,NULL,NULL
54,"Robotic Orthopaedic Institute",NULL,"1490 East Foremaster Drive, Ste 260",84790,"UT","St. George",NULL,NULL,NULL,NULL,NULL
55,"Salt Lake Behavioral Health",9,"3802 South 700 East",84106,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
56,"Salt Lake Regional Medical Center",4,"1050 East South Temple",84102,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
57,"San Juan Health Services District",NULL,"380 West 100 North",84535,"UT","Monticello",NULL,NULL,NULL,NULL,NULL
58,"Sevier Valley Regional Medical Centr",1,"1000 North Main Street",84701,"UT","Richfield",NULL,NULL,NULL,NULL,NULL
59,"Shriners Hospitals for Children - Salt Lake City",10,"1275 East Fairfax Road",84103,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
60,"South Davis Community Hospital",NULL,"401 South 400 East",84010,"UT","Bountiful",NULL,NULL,NULL,NULL,NULL
61,"Southern Utah MRI",NULL,"1335 Northfield Rd #100",84721,"UT","Cedar City",NULL,NULL,NULL,NULL,NULL
62,"St. George Surgical Center",NULL,"676 South Bluff Street",84770,"UT","St. George",NULL,NULL,NULL,NULL,NULL
63,"St. Marks Hospital",2,"1200 East 3900 South",84124,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
64,"Timpanogos Regional Hospital",2,"750 West 800 North",84057,"UT","Orem",NULL,NULL,NULL,NULL,NULL
65,"Uintah Basin Medical Center",NULL,"250 West 300 North",84066,"UT","Roosevelt",NULL,NULL,NULL,NULL,NULL
66,"U Of U Hospitals & Clinics",11,"50 North Medical Drive",84132,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
67,"U Of Utah Neuropsychiatric Institute",11,"501 South Chipeta Way",84108,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
68,"Utah Neuro Rehabilitation",NULL,"1414 East 4500 South Suite 2",84117,"UT","Salt Lake City",NULL,NULL,NULL,NULL,NULL
69,"Utah State Hospital",NULL,"1300 East Center Street",84606,"UT","Provo",NULL,NULL,NULL,NULL,NULL
70,"Utah Valley Specialty Hospital",8,"306 River Bend Lane",84604,"UT","Provo",NULL,NULL,NULL,NULL,NULL
71,"Orange MD",NULL,"5728 S 1475 E Suite 102",84403,"UT","Ogden",NULL,NULL,NULL,NULL,NULL
