"id","generated_procedure_name","generated_procedure_description","procedure_name"
10,"Quick extraction of cerebrospinal fluid through a catheter measuring 0.014 inches in diameter and 140 cm in length.","Quick extraction of cerebrospinal fluid through a catheter measuring 0.014 inches in diameter and 140 cm in length.","cath pronto lp extract .014 140cm 5010"
11,"Injection of Contrast Agent into Each Lumbar Vertebra with Imaging Assistance to Visualize Intervertebral Foramen.","No Description","inject transforam w/img ea add l/s*"
12,"Surgical addition to remove blood clots in the small arteries: Sequential arterial microthrombectomy augmentation.","Surgical addition to remove blood clots in the small arteries: Sequential arterial microthrombectomy augmentation.","sec art m-thrombect add-on"
13,"Evaluation of cerebrospinal fluid delay with nuclear magnetic resonance imaging (MRI) and assessment of shunt function.","Evaluation of cerebrospinal fluid delay with nuclear magnetic resonance imaging and assessment of shunt function.","nm shunt evaluation csf delay 1"
14,"Non-imaging Percutaneous Gastrostomy Tube Replacement with Tract Removal and No Revisions (Procedure Code 43762)","This medical procedure is the replacement of a percutaneous gastrostomy tube without imaging and without revising the gastrostomy tract. The procedure code for this is 43762.","replace perc gastrostomy tube, w/ removal, w/o imaging, no revision gastrostomy tract 43762"
15,"Carpometacarpal (CMC) Ligament Reconstruction with System Implant.","Carpometacarpal (CMC) Ligament Reconstruction with System Implant.","system implant cmc lig reconstruct bc"
16,"Mesh Surgimend 2.0 Hernia Repair, 6x12cm: A medical procedure for repairing hernias using Surgimend 2.0 mesh.","This is a medical procedure used for hernia repair using a mesh product called SurgiMend 2.0. The dimensions of the mesh are 6x12cm.","mesh surgimend 2.0 hernia repair 6x12cm"
17,"Heart Catheterization with Intact Septum for Congenital Anomalies in both Right and Left Sides of the Heart.","Congenital heart catheterization is a medical procedure that involves the insertion of a catheter into the heart to diagnose and treat congenital heart defects, which are present at birth. In this specific case, the procedure is being performed on both the right and left sides of the heart through an intact septum, which is the wall that separates the two sides of the heart. This type of heart defect is a common congenital abnormality. Through the use of catheters, physicians can image the heart and its blood vessels, measure pressures, and obtain samples of blood and tissue for analysis.","congenital right & left heart cath through intact septum"
18,"Cardiac Viability and Sarcoidosis Imaging with Positron Emission Tomography and Computed Tomography (PET/CT)","This medical procedure is a NM PET/CT scan used for evaluating cardiac viability and detecting sarcoidosis in the heart. The NM stands for nuclear medicine, and PET/CT combines both PET (positron emission tomography) and CT (computed tomography) imaging techniques. During the procedure, a small amount of radioactive material is injected into the body, which is then picked up by the heart tissue and detected by specialized imaging equipment. This helps doctors evaluate the function and viability of the heart muscle and identify any abnormal areas indicating sarcoidosis.","nm pet/ct cardiac viability/sarcoidosis"
19,"MRI-guided hip bone biopsy with a 14.0mm trephine needle and 8-inches inner diameter, non-sterile procedure.","No Description","hip trephine 14.0mm 8in id mri non-ster"
20,"Selective Subclavian/Innominate Artery Vertebral Uni-lateral Embolization with Additional Embolic Material.","Selective Subclavian/Innominate Artery Vertebral Uni-lateral Embolization with Additional Embolic Material.","select subclv/inn vert uni* ea addl"
21,"MRI-guided insertion of a 8 French catheter with Groshong valve using Bardport technology on June 2nd, 830.","No Description","cath groshong mri bardport 8fr 0602830"
22,"3D reconstruction computed tomography transcatheter aortic valve implantation with external imaging study.","3D reconstruction computed tomography transcatheter aortic valve implantation with external imaging study.","ct tavi 3d reconstruction outside study"
23,"MRI with Lead Placement and Surescan Technology, 2x8 Configuration, 90cm Imaging Depth, and Model 977c290.","This is a medical imaging procedure called a MRI (magnetic resonance imaging) using a device called Suresscan MRI 2x8 90cm 977c290. The specific model number may refer to the dimensions and capabilities of the MRI machine. However, without additional context, it is impossible to determine the specific purpose of the procedure or the body part being imaged.","lead specify surescan mri 2x8 90cm 977c290"
24,"Cardiac Viability/Sarcoidosis Imaging with PET (Positron Emission Tomography) and NM (Nuclear Medicine).","Cardiac Viability/Sarcoidosis Imaging with PET (Positron Emission Tomography) and NM (Nuclear Medicine).","nm pet cardiac for viability/sarcoidosis"
25,"Insertion of a 14mm Bioflex Pump into the Penile Scrotal Region with an Over-the-Counter Refill System","Insertion of a 14mm Bioflex Pump into the Penile Scrotal Region with an Over-the-Counter Refill System","pump penile scrotal 14mm bioflex w/otr"
26,"nium implant. One possible name for this procedure could be One-Touch Titanium Penile-Scrotal Implant.","nium implant. One possible name for this procedure could be One-Touch Titanium Penile-Scrotal Implant.","pump penile scrotal 1 touch release tita"
27,"MRI-guided non-sterile core needle biopsy of the hip using a 17.5mm internal diameter trephine needle.","MRI-guided non-sterile core needle biopsy of the hip using a 17.5mm internal diameter trephine needle.","hip trephine 17.5mm id mri non-ster"
28,"Balloon Impact Admiral Drug-Coated Balloon with dimensions 5mm diameter x 150mm length x 130cm length.","Balloon impact admiral DCB 5x150mmx130cm is a medical procedure used for the treatment of peripheral artery disease (PAD). During this procedure, a balloon catheter is used to inflate and deflate a balloon in the blocked or narrowed arterial section. The inflated balloon compresses the plaque against the arterial walls, restoring the flow of blood. The admiral drug-coated balloon (DCB) used in this procedure is designed to deliver a medication that helps prevent restenosis or the reoccurrence of artery blockage.","balloon inpact admiral dcb 5x150mmx130cm"
29,"Selection of arterial branches in the abdomen, pelvic area, and lower extremities with each addition.","No Description","select art abd/pel/lwr ext ea add"
30,"CT scan with contrast at emergency department level 1, moderate complexity, and maximum of 25 images.","CT scan with contrast at emergency department level 1, moderate complexity, and maximum of 25 images.","ed level 1 mod 25 (ct rule)"
31,"Carotid Artery Stenting for Unilateral Innominate Artery Stenosis with Additional Selective Stenting.","Carotid Artery Stenting for Unilateral Innominate Artery Stenosis with Additional Selective Stenting.","select carotid/innom incr uni* ea addl"
32,"MRI-Compatible Implantable Pulse Generator with 16 Channels and Recharge Capability - Protege System.","MRI-Compatible Implantable Pulse Generator with 16 Channels and Recharge Capability - Protege System.","system ipg protege mri 16ch recharge"
33,"The human readable name for this medical procedure is Lucia 602 IOL CT for 14.5 Diopter Lens Implant.","This is a medical procedure for inserting a specific type of intraocular lens (IOL) called the Lucia 602 with a power of 14.5 diopters. It is not specified what the CT refers to.","lens iol ct lucia 602 14.5 diopter"
34,"Full Body PET-CT Scan with Contrast Dye: From Skull Base to Mid-Thigh, Focused on Glucose Metabolism","Full Body PET-CT Scan with Contrast Dye: From Skull Base to Mid-Thigh, Focused on Glucose Metabolism","pet ct skull base to midthigh-fdg"
35,"Platinum Electrode Recording Procedure with 4 Contacts, 2mm Depth and 17mm Length in a Straight Line","This is a medical procedure used for recording the electrical activity of the brain. It involves the use of platinum electrodes, with four contacts, each with a depth of 2mm and total length of 17mm. The electrodes are positioned inline for accurate recording.","electrode depth platinum 4 contact 2mm 17mm recording inline"
36,"Hip Liner Replacement with Acetab Reflect XLPE, 32mm Diameter, 0 Degree Inclination, and Size 50-52.","Hip Liner Replacement with Acetab Reflect XLPE, 32mm Diameter, 0 Degree Inclination, and Size 50-52.","hip liner acetab reflect xlpe 32mm 0deg 50-52 sze"
37,"Coronary Artery Imaging using Intravascular Ultrasound and Optical Coherence Tomography (IVUS/OCT).","Intravascular ultrasound (IVUS) or optical coherence tomography (OCT) of the initial vessel in the coronary artery is a medical procedure used to visualize the inside of the blood vessels of the heart. This imaging technique is used to diagnose and treat heart conditions, including coronary artery disease. IVUS and OCT use a catheter that is inserted into the blood vessels to produce detailed images of the inside of the vessel. These images help doctors to evaluate the structure and function of the artery and determine the appropriate treatment plan.","ivus/oct coronary initial vessel"
38,"Ultrasound-guided tissue dissection with a 25kHz Tip Barracuda Sonopet machine (model 5450-800-310)","Ultrasound-guided tissue dissection with a 25kHz Tip Barracuda Sonopet machine (model 5450-800-310)","tip baracuda 25khz sonopet 5450-800-310"
39,"Rechargeable MR-Compatible Neurostimulation Procedure with Interstim and Micro Surescan Technology.","Neurostimulator Interstim Micro Surescan MRI rechargeable is a medical procedure that involves the implantation of a small device, called a neurostimulator, into the body to help regulate nerve activity and relieve chronic pain, bladder or bowel control problems. The device uses electrical impulses to stimulate specific nerves and is rechargeable. It is designed to work with MRI technology, which makes it easier for doctors to monitor its effectiveness.","neurostimulator interstim micro surescan mri rechargeable"
40,"MRI-guided implantation of a 33cm interstim electrode with 4.32mm kit lead and surescan technology.","This is a medical procedure called InterStim Therapy, which involves implanting a device (InterStim neurostimulator) that stimulates the sacral nerve to treat bladder and bowel control problems. The specific components mentioned in the description refer to the specific device (lead, surescan MRI compatibility, 4.32mm diameter) and the size of the lead used (33cm).","kit lead surescan mri 4.32mm interstim 33cm"
41,"CT Angiography of the Coronary Arteries with Structural, Morphological, and Functional Assessment.","CT angiography (CTA) of the coronary arteries is a medical procedure that uses computed tomography to image the blood vessels of the heart (coronary arteries). The term str/mph/fnt cnt is not related to this procedure and may be a coding reference.","ct angio coronary artery str/mph/fnt cnt"
42,"Single study nuclear medicine positron emission tomography (PET) for myocardial perfusion imaging.","No Description","nm pet myocardial perf single study"
43,"Endovascular Repair of the Iliac Artery without Placement of Stent Graft in the Aorto-Iliac Region","This medical procedure involves repairing the iliac artery near the lower part of the abdomen and placing a stent in the aorto-iliac area, which is the area where the aorta branches off into the two iliac arteries. It is commonly used to treat blockages or aneurysms in these arteries.","evar iliac repair wo aorto-iliac placement"
44,"Distal Knee Augmentation for Improved Stability - Right Knee, 8mm Increase (Procedure ID: 96-0883)","Distal Knee Augmentation for Improved Stability - Right Knee, 8mm Increase (Procedure ID: 96-0883)","knee augmentation distal 8mm rt 96-0883"
45,"Computed Tomography Angiography (CTA) of the chest with transcatheter aortic valve implantation (TAVI).","CT Angiography (CTA) is a medical imaging technique that uses X-rays and a computer to create detailed images of blood vessels, organs, and tissues inside the body. TAVI (Transcatheter Aortic Valve Implantation) is a minimally invasive procedure that involves replacing a damaged aortic valve with a new valve through a small incision in the groin. In the context of CT Angio Chest TAVI, it likely refers to using CTA to visualize the chest (specifically the aorta and its branches) prior to performing a TAVI procedure.","ct angio chest tavi"
46,"Dual Electrode Repair Procedure for Pacemakers and Implantable Cardioverter Defibrillators (ICDs)","Dual Electrode Repair Procedure for Pacemakers and Implantable Cardioverter Defibrillators (ICDs)","repair two electrodes pm or icd"
47,"CT-guided percutaneous drainage catheter placement with specimen and culture/sensitivity testing.","CT-guided percutaneous drainage catheter placement with specimen and culture/sensitivity testing.","ct chg perc drn cath s&i"
48,"Selection of the arteries in the abdomen, pelvis, and lower third with each additional one added.","Selection of the arteries in the abdomen, pelvis, and lower third with each additional one added.","select art abd/pel/lwr 3rd+ ea addl"
49,"Hip Bone Biopsy using MRI Guidance without Sterilization: 13.0mm Trephine with 8in Inner Diameter","Hip Bone Biopsy using MRI Guidance without Sterilization: 13.0mm Trephine with 8in Inner Diameter","hip trephine 13.0mm 8in id mri non-ster"
50,"Left knee distal patellofemoral joint (PFJ) augmentation using size 3, 16mm prosthetic component.","Left knee distal patellofemoral joint (PFJ) augmentation using size 3, 16mm prosthetic component.","knee augmentation distal pfc sz3 16mm lt"
51,"Selection and insertion of first-order venous catheter with the option of additional placements.","Selection and insertion of first-order venous catheter with the option of additional placements.","select cath venous first order ea addl"
52,"Hip replacement with acetabular liner augmentation, reflecting a 4-degree angle and a 36mm size.","Hip replacement with acetabular liner augmentation, reflecting a 4-degree angle and a 36mm size.","hip liner acet reflect 4 20deg 36mm szg"
53,"MRI-guided spinal surgery with hoffman ii technique and external fixation for improved alignment","MRI-guided spinal surgery with hoffman ii technique and external fixation for improved alignment","post hoffman ii straight mri ext fix"
54,"Laser-guided tractotomy with Flexiva 200 fiber optic technology, packaged in sets of five boxes.","Laser-guided tractotomy with Flexiva 200 fiber optic technology, packaged in sets of five boxes.","fiber laser tractip flexiva 200 5/bx"
55,"Linear lead placement for spinal stimulation with 8 contacts, spaced 3-4mm apart, on a 50cm kit.","Linear lead placement for spinal stimulation with 8 contacts, spaced 3-4mm apart, on a 50cm kit.","kit spine linear lead 8 contact 3-4 50cm"
56,"Endoscopic Gastrointestinal VTI (Velocity Time Integral) Measurement with Doppler Probe #108670.","Endoscopic Gastrointestinal VTI (Velocity Time Integral) Measurement with Doppler Probe #108670.","probe doppler vti gi endoscopic 108670"
57,"Platinum Electrode Implant with 4 Contacts, 2mm Depth, 17mm Length, and Non-Standard Connection.","Platinum Electrode Implant with 4 Contacts, 2mm Depth, 17mm Length, and Non-Standard Connection.","electrode depth platinum 4 contact 2mm 17mm non-stnd connect"
58,"Quick Connect Orthopedic Drill Bit, 3.2mm Diameter and 200mm Length, Reference Number 1-1100301","Quick Connect Orthopedic Drill Bit, 3.2mm Diameter and 200mm Length, Reference Number 1-1100301","drill bit quick connect 3.2x200mm 1-1100301"
59,"Fiber Laser CO2 Otolasea can be renamed as Fiber Laser CO2 Treatment for Ear, Nose, and Throat.","Fiber Laser CO2 Otolasea can be renamed as Fiber Laser CO2 Treatment for Ear, Nose, and Throat.","fiber laser co2 otolasea"
60,"Bone Marrow Transplantation with Autologous Blood Cell Harvest and Allogeneic Transplantation.","BMTA stands for Blood and Marrow Transplantation Authority. However, there is no medical procedure called Blood cell harvest transplant allo that is commonly abbreviated as BMTA. It is likely a typographical error or a made-up abbreviation.","bmta blood cell harvest transplant allo"
61,"Ring Tension Capsular Ringject 13mm could be called Capsular Tension Ring Insertion Procedure.","Ring Tension Capsular Ringject 13mm could be called Capsular Tension Ring Insertion Procedure.","ring tension capsular ringject 13mm"
62,"Replacement of Natural Eye Lens with Artificial Lens (Lucia 602) - 34.0 Diopter using CT Scan.","This is a medical procedure involving the implantation of a specific type of intraocular lens (IOL) called the Lucia 602 with a power of 34.0 diopters. CT may refer to computer tomography, but it is unclear how it relates to the procedure. It is likely that the procedure is a type of cataract surgery in which the natural lens of the eye is replaced with the IOL.","lens iol ct lucia 602 34.0 diopter"
63,"CT-guided joint and bursa injection for the right major joint arthritis and joint aspiration.","This is a medical procedure involving a computed tomography (CT) scan of the right joint/bursa, followed by an arthroscopy (arthr), joint aspiration (asp), and joint injection (inj) of a major substance. The specific substance being injected is not stated in the description.","ct joint/bursa major arthr/asp/inj right"
64,"Multiple Study Nuclear Medicine Myocardial Single-Photon Emission Computed Tomography (SPECT)","Myocardial Spect Multiple Study is a medical imaging procedure that utilizes a radioactive tracer to produce detailed images of the heart muscle. It helps in assessing the blood flow to the heart muscle and identifying any potential issues or abnormalities.","nm myocardial spect multiple study"
65,"Scanning a specific body region using nuclear medicine imaging for 2 or more consecutive days","No description.","nm spect single area 2+ days"
66,"Left Knee Augmentation with a Size 3 Proximal Femoral Component (PFC) and 12mm Distal Implant","Left Knee Augmentation with a Size 3 Proximal Femoral Component (PFC) and 12mm Distal Implant","knee augmentation distal pfc sz3 12mm lt"
67,"Spinal Spacer Placement with Peek Material using Unilift Technique (7mm x 30mm x 4mm x 11mm)","Spinal Spacer Placement with Peek Material using Unilift Technique (7mm x 30mm x 4mm x 11mm)","spacer spinal peek 7x30x4x11 unilift"
68,"Left Knee Distal Patellofemoral Joint Augmentation with Size 2.5 Proximal Femoral Component.","This is a medical procedure involving the implantation of a distal posterior femoral condyle (PFC) size 2.5 implant in the left knee joint. It is a type of knee augmentation surgery.","knee augmentation distal pfc sz2.5 lt"
69,"Left knee joint augmentation with a distal patellofemoral component size 2.5 and 8mm length.","Left knee joint augmentation with a distal patellofemoral component size 2.5 and 8mm length.","knee augmentation distal pfc sz2.5 lt 8mm"
70,"Left knee High Tibial Osteotomy with ACL replacement using a Plate Wedge and Medial Opening.","This medical procedure is a Plate Wedge Medial Opening High Tibial Osteotomy with ACL Replacement on the left knee.","plate wedge medial opening hto w/acl replacement left st"
71,"Implantation of the Lucia 602 intraocular lens (IOL) with 18.0 diopter for cataract surgery.","Insertion of a Lucia 602 intraocular lens with a power of 18.0 diopter, following cataract surgery.","lens iol ct lucia 602 18.0 diopter"
72,"Skin graft using AlloDerm Select, measuring 4 by 7 inches, with a thin thickness of 0.3-0.8.","This is a medical procedure called Alloderm grafting, which involves the transplantation of a thin layer of acellular human dermal tissue (Alloderm Select) measuring 4x7, with a thickness ranging from 0.3 to 0.8 millimeters. The procedure is commonly used in reconstructive surgeries, wound healing, and cosmetic surgery.","graft alloderm select 4x7 thin 0.3-0.8"
73,"CT-guided Anesthesia and/or Arthroscopic Injection of the Sacroiliac Joint with Radiography","This medical procedure is a CT-guided injection of local anesthetic and/or corticosteroid into the sacroiliac joint for pain relief or inflammation reduction.","ct si joint inj anes an/or arth w gde r"
74,"X-ray of the proximal (nearest to the body) extremity (limb) of the thoracic (chest) aorta.","X-ray of the proximal (nearest to the body) extremity (limb) of the thoracic (chest) aorta.","xray place prox ext thor ao"
75,"Full-Body PET-CT Scan for Neuroendocrine Tumors from Skull Base to Mid-Thigh using DOTATATE","This is a medical imaging procedure called a PET-CT scan that uses a radiopharmaceutical called Dotatate to create images of the skull base to mid-thigh area of the body. It is often used to diagnose and monitor certain types of cancer, such as neuroendocrine tumors.","pet ct skull base to midthigh-dotatate"
76,"Linear Lead Placement for Spinal Kit with 8 Contact Points at 3-4 Vertebrae and 70cm Length","Linear Lead Placement for Spinal Kit with 8 Contact Points at 3-4 Vertebrae and 70cm Length","kit spine linear lead 8 contact 3-4 70cm"
77,"MRI-guided subcutaneous catheter placement with a 6 French power port and micro-introducer.","MRI-guided subcutaneous catheter placement with a 6 French power port and micro-introducer.","cath sub q powerport 6fr mri w/micro int"
78,"Balloon angioplasty with Admiral balloon catheter (4mm diameter, 80mm length, 130cm shaft).","Balloon angioplasty with Admiral balloon catheter (4mm diameter, 80mm length, 130cm shaft).","balloon inpact admiral 4x80mmx130cm"
79,"The Clear Vision procedure with Lucia 602.s lens and 24.5 diopter intraocular lens implant.","This is a description of a medical procedure for implanting a specific type of intraocular lens (IOL), called Lucia 602.s, with a power of 24.5 diopters. The procedure involves using a computed tomography (CT) scan to measure and determine the appropriate IOL for the patient's eye.","lens iol ct lucia 602.s 24.5 diopter"
80,"Endoscopic Tacking Procedure for Gastrointestinal System using Helix X-Tack at 160cm Reach.","Endoscopic Tacking Procedure for Gastrointestinal System using Helix X-Tack at 160cm Reach.","system endoscopic x tack helix 160cm"
81,"Electrode Repair Procedure for Pacemakers or Implantable Cardioverter Defibrillators (ICD)","This medical procedure involves repairing one electrode of a pacemaker (PM) or implantable cardioverter defibrillator (ICD).","repair one electrode pm or icd"
82,"Insertion of Tibial NexGen AC Wedge in Knee (Size 3) for Partial Thickness Cartilage Tear.","Insertion of Tibial NexGen AC Wedge in Knee (Size 3) for Partial Thickness Cartilage Tear.","knee tibial nexgen ac wedge ptct sz3"
83,"Deep Brain Mapping with 10 Electrode Contacts, Recorded via 29mm Insertion and 2.4mm Drill","This is a medical procedure known as stereo-electroencephalography (SEEG), which involves the insertion of electrodes into the brain to record electrical activity and map out the location of seizures. The description refers to the details of the electrode placement, including the depth (29mm), number of contacts (10), and size of the drill used (2.4mm).","electrode depth seeg 10 contact 29mm recording 2.4mm drill"
84,"Precision Surgical Handpiece for Effective Ligament Removal - Ligasure Impact 18cm LF4318","The medical procedure is Ligasure Impact 18cm LF4318, which is a surgical device used for sealing and cutting blood vessels during surgical procedures. It uses a handpiece to deliver energy to the vessel, sealing it without the need for sutures or clips.","handpiece ligasure impact 18cm lf4318"
85,"Surgical Implantation of Lucia 602 24 Diopter Intraocular Lens (IOL) using CT Technology.","This is a medical procedure for cataract surgery where a specific type of intraocular lens (IOL) called Lucia 602 with a power of 24 diopters is implanted. CT may refer to computed tomography, which may be used to assist in the planning of the surgery.","lens iol ct lucia 602 24 dio"
86,"Injecting the facet joint of the lumbar vertebrae at the third level and a single level.","This medical procedure involves injecting a medication or anesthesia into a specific facet joint located in the lumbar spine at the third level and one single level. The purpose of the injection is to relieve pain or inflammation in the joint.","inject facet jnt l/s 3rd+single lvl*"
87,"MRI-guided cardiac resynchronization therapy with implantable cardioverter-defibrillator","cardioverter-defibrillator (also known as an implantable cardioverter-defibrillator or ICD) is a medical device that is surgically placed in the chest to monitor and treat abnormal heart rhythms. Bi-ventricular MRI is a non-invasive imaging procedure that uses magnetic fields and radio waves to create images of the heart's structures and function.","cardioverter-defib bi-ventricular mri"
88,"Physical therapy ultrasound every 15 minutes with a therapeutic procedure code of 97035.","No Description","pt ultrasound ea 15 min 97035"
89,"Hip Joint Resurfacing with 20 Degree Reflected Acetabular Liner, Size G at 36mm Diameter","Hip Joint Resurfacing with 20 Degree Reflected Acetabular Liner, Size G at 36mm Diameter","hip liner acetab reflect sz g 20deg 36mm"
90,"Precision Electrosurgical Handpiece for Improved Tissue Sealing - LIGASURE IMPACT LF4418","The Ligasure Impact LF4418 is a type of handpiece used in surgical electrocautery procedures. It uses radiofrequency energy to seal blood vessels and tissue during surgery, reducing bleeding and minimizing tissue trauma. This technology has been used in various surgical disciplines, including laparoscopic, gynecologic, and urologic surgery.","handpiece ligasure impact lf4418"
91,"Posterior Knee Enlargement Surgery with 2.5 Size Augmentation and 8mm Right-side Implant","No Description","knee augmentation posterior sz2.5 8mm rt"
92,"Deep Brain Stimulation with Multiple Electrodes and High Precision Recording Technology.","The medical procedure is electrode depth SEEG (stereo-electroencephalography), which involves the placement of electrodes using a drill to record electrical activity in the brain. The procedure involves 10 contacts on an electrode that is placed 33.5 mm deep into the brain tissue, with a recording depth of 2.1 mm.","electrode depth seeg 10 contact 33.5mm recording 2.1mm drill"
93,"Deep Brain Stimulation Recording and Analysis with 14 Contact Electrode and 47.5mm Depth","This is a medical procedure called stereoelectroencephalography (SEEG), which involves placing multiple electrodes into the brain to record electrical activity for the purpose of diagnosing and treating neurological disorders such as epilepsy. The specific details provided in the description refer to the type and size of the electrodes used in the procedure.","electrode depth seeg 14 contact 47.5mm recording 2.4mm drill"
94,"Lucia 602.s Lens Replacement Surgery with 8.0 Diopter Intraocular Lens (IOL) and CT Scan","This is a medical procedure for implanting a specific type of intraocular lens (IOL) called the Lucia 602.S with a power of 8.0 diopters. It involves using computed tomography (CT) imaging to measure the eye and determine the correct size and power of the lens to be implanted.","lens iol ct lucia 602.s 8.0 diopter"
95,"Titanium Mesh Screen Jannetta Procedure for Rectal Prolapse, with a size of 0.2 x 1.5mm.","Titanium Mesh Screen Jannetta Procedure for Rectal Prolapse, with a size of 0.2 x 1.5mm.","mesh screen jannetta rect lg .2x1.5mm ti"
96,"Functional Magnetic Resonance Imaging (fMRI) of the Brain without Physician supervision","MRI brain functional w/o physician refers to a functional magnetic resonance imaging (fMRI) of the brain that is performed without a physician present. An fMRI measures brain activity by detecting changes in blood flow and oxygenation. However, it is important for a physician to interpret the results of the MRI and provide a proper diagnosis and treatment plan.","mri brain functional w/o physician"
97,"This medical procedure could be called Laser-assisted angioplasty with catheterization.","Catheter Transluminal Angioplasty with Laser is a medical procedure that involves using a catheter and a laser to treat narrow or blocked arteries. The catheter is inserted into the affected artery and a small balloon at the tip of the catheter is inflated to widen the artery. A laser may be used to further open the artery or to remove plaque buildup. This procedure is often used to treat conditions such as peripheral artery disease, coronary artery disease, and carotid artery disease.","catheter transluminal angioplasty  laser"
98,"Endovascular Repair of Abdominal Aortic Aneurysm with Iliac/Femoral Artery Involvement.","This medical procedure is for repairing an abdominal aortic aneurysm (AAA) using endovascular techniques. The iliac and femoral arteries are accessed to insert a stent graft into the aneurysm to prevent it from rupturing. Deleted is likely an indication that this procedure was canceled or postponed for some reason.","deleted endovas aaa repair iliac/femoral"
99,"Percutaneous Transcatheter Tricuspid Valve Repair with Initial Prosthetic Implantation.","Percutaneous Transcatheter Tricuspid Valve Repair with Initial Prosthetic Implantation.","transcath tricuspid repair perc inital prosthesis"
100,"CT-guided Air-O enhanced intraoperative imaging of the thoracic spine without contrast.","No Description","ct airo intraop t spine w/o"
101,"Magnetic Resonance Imaging (MRI) assisted external fixation with Hoffman II 10HL clamp.","Magnetic Resonance Imaging (MRI) assisted external fixation with Hoffman II 10HL clamp.","clamp hoffman ii 10hl mri ext fix"
102,"Hip Replacement with Extra Large Cross-Linked Polyethylene Acetabular Liner - Size 36mm","Hip Replacement with Extra Large Cross-Linked Polyethylene Acetabular Liner - Size 36mm","hip liner acetab reflect xlpe 36mm szh"
103,"Fluoroscopic guided injection of a needle in the spine with sterile and safe delivery.","This is a medical procedure called fluoroscopic-guided spine injection. It involves using a fluoroscope (an imaging tool that uses X-rays to produce real-time images) to guide a needle into the spinal area, where medication or anesthetic is injected to alleviate pain or inflammation. S&I likely stands for sterile and insertion and refers to the sterile technique used during the procedure.","fluoroguide needle spine inject s&i"
104,"Computed Tomography (CT) Scan at ED Level 3 with Moderate Severity, using Rule of 25.","Computed Tomography (CT) Scan at ED Level 3 with Moderate Severity, using Rule of 25.","ed level 3 mod 25 (ct rule)"
105,"Angiography with selective catheterization and imaging of additional internal organs.","Angiography with selective catheterization and imaging of additional internal organs.","angio visceral select s&i ea addl"
106,"CT liver assessment for Liver Imaging Reporting and Data System (LI-RADS) evaluation.","This is a medical procedure involving the use of computed tomography (CT) to evaluate the liver in accordance with the Liver Imaging Reporting and Data System (LI-RADS) classification system. It is used to assess the level of suspicion for liver lesions and guide further management decisions.","ct liver lirads eval"
